contest,ChatGPT (gpt-4o),Claude,gap
585,0.35410875199999997,0.006389180999999997,0.34771957099999995
887,0.343150802,0.10705376400000001,0.23609703799999998
810,0.050258291999999996,0.27078376,0.220525468
834,0.234474541,0.02947251296,0.20500202804
765,0.0698315094,0.27196614,0.20213463060000003
890,0.2061083282,0.0063246724,0.1997836558
575,0.251488066,0.0647791543,0.1867089117
602,0.24228176799999998,0.0593799844,0.18290178359999998
823,0.34827631,0.165526384,0.18274992599999998
779,0.13472747083,0.315049024,0.18032155317
616,0.263020369,0.0835788564,0.17944151259999996
694,0.297223042,0.1188154306,0.1784076114
895,0.179245858,0.007306464200000001,0.1719393938
799,0.058590993999999993,0.229170152,0.170579158
884,0.13254281474000001,0.293869766,0.16132695125999996
617,0.292217497,0.1309710966,0.1612464004
548,0.263529328,0.115443284,0.14808604400000003
514,0.223086407,0.07889685194,0.14418955505999997
519,0.244962334,0.10106558406,0.14389674994
837,0.291568172,0.148551816,0.143016356
780,0.0909345744,0.23119966,0.1402650856
753,0.127787357,0.26732721800000003,0.13953986100000004
711,0.18846679419999998,0.0490268852514,0.13943990894859998
624,0.10832093129999999,0.2477136585,0.1393927272
517,0.322097655,0.1831818006,0.13891585439999998
622,0.0250010518,0.1625483085,0.13754725669999998
814,0.1675913388,0.03050965140000001,0.13708168739999999
518,0.209082992,0.0736122303,0.1354707617
663,0.271391654,0.140195023,0.13119663099999998
742,0.0744751841,0.2052681097,0.1307929256
842,0.194916991,0.06741053084,0.12750646016
843,0.172110068,0.04497489148,0.12713517652
847,0.0472659416,0.170524214,0.12325827240000001
662,0.220722071,0.09907118300000001,0.12165088799999998
864,0.194861171,0.0776246206,0.1172365504
666,0.2434343015,0.12684613897,0.11658816253000001
644,0.04026240513,0.1550402927,0.11477788757
640,0.09991803143,0.2146714741,0.11475344267000001
862,0.068746327,0.181469604,0.11272327700000001
844,0.224417702,0.1129291576,0.1114885444
787,0.1509304172,0.0402098298,0.1107205874
667,0.218640377,0.109570413616,0.10906996338399999
645,0.06686898935,0.1758067686,0.10893777924999999
880,0.1603852382,0.268949965,0.10856472680000001
736,0.11453908354,0.22107521900000002,0.10653613546000001
830,0.1786108706,0.07242286326,0.10618800734
555,0.18790616,0.08334660199999999,0.104559558
648,0.2169605876,0.1128370977,0.1041234899
878,0.291029847,0.1873935242,0.10363632280000001
855,0.147782728,0.0453254317,0.1024572963
699,0.197981678,0.0956387886,0.1023428894
607,0.13447720633000002,0.0322646799,0.10221252643
758,0.1778775354,0.07572424579999999,0.10215328960000002
612,0.196382661,0.09501396097,0.10136870002999998
724,0.09043677850000001,0.190321289,0.0998845105
665,0.21183027199999999,0.11210636139999999,0.0997239106
719,0.232902118,0.1336535855,0.09924853249999999
