contest,caption,funny_votes,unfunny_votes,votes,category,has_question_mark,ends_with_punctuation,caption_length,model
683,"We are going to go with Noah, but thanks.",3507,3652,11546,Top 5 Funny,False,True,41,Human
683,I guarantee he brings up the whole discovering fire thing within the first five minutes.,3189,3479,10648,Top 5 Funny,False,True,88,Human
683,"Four-story brownstones? It'll never catch on, not in a million years.",3163,3925,11248,Top 5 Funny,True,True,69,Human
683,They must have made a fortune from the wheel.,3109,2539,9805,Top 5 Funny,False,True,45,Human
683,"What'd you expect?  She hunts-gathers, too , and they have no kids.",3030,3587,10633,Top 5 Funny,True,True,67,Human
683,It scrape sky.,1639,4576,8051,Top 5 Unfunny,False,True,14,Human
683,"Four-story brownstones? It'll never catch on, not in a million years.",3163,3925,11248,Top 5 Unfunny,True,True,69,Human
683,Evidently his father invented the wheel.,1448,3655,8131,Top 5 Unfunny,False,True,40,Human
683,"We are going to go with Noah, but thanks.",3507,3652,11546,Top 5 Unfunny,False,True,41,Human
683,"What'd you expect?  She hunts-gathers, too , and they have no kids.",3030,3587,10633,Top 5 Unfunny,True,True,67,Human
