contest,caption,funny_votes,unfunny_votes,votes,category,has_question_mark,ends_with_punctuation,caption_length,model
640,My other cat is a Jaguar.,70,194,328,Top 5 Funny,False,True,25,Human
640,"Trump was right.  If you're rich, they just let you grab 'em.",66,219,343,Top 5 Funny,False,True,61,Human
640,I called a cab but...auto-correct.,64,216,333,Top 5 Funny,False,True,34,Human
640,It's a rental. The jaguar's in the shop.,59,208,336,Top 5 Funny,False,True,40,Human
640,Still got that new cat smell.,58,178,327,Top 5 Funny,False,True,29,Human
640,"A tisket, a tasket, ridin' catback in the saddle, again...",3,339,377,Top 5 Unfunny,False,True,58,Human
640,"Okay, so this isn't Pandora. So what?",8,334,371,Top 5 Unfunny,True,True,37,Human
640,"he lost the bet when Trump won the election...but I have a request, who would I contact regarding doing a Cartoon Contest regarding a project I am working on to nominate Jockey Abe Hawkins for the Racing Museum HOF 2020 Class (Special Consideration)",8,332,362,Top 5 Unfunny,False,False,249,Human
640,We're three-blinded mice.,3,332,365,Top 5 Unfunny,False,True,25,Human
640,"Stop you hemming and hawing, once focused, she is a real pussy cat",1,328,377,Top 5 Unfunny,False,False,66,Human
