contest,caption,funny_votes,unfunny_votes,votes,category,has_question_mark,ends_with_punctuation,caption_length,model
641,"Mr. President, I 've rounded up what's left of your base.",39,116,178,Top 5 Funny,False,True,57,Human
641,Check out channel 12. This idiot woman has a house full of cats.,38,119,192,Top 5 Funny,False,True,64,Human
641,I'm not sure how many there are. Every time I start counting I fall asleep.,33,86,150,Top 5 Funny,False,True,75,Human
641,The Trump Tower contract said they all had to be white.,32,101,171,Top 5 Funny,False,True,55,Human
641,Tell Trump the Senate Republicans are all here.,32,96,150,Top 5 Funny,False,True,47,Human
641,I can't meet you for dinner tonight. I'm feeling a bit sheepish.,7,173,208,Top 5 Unfunny,False,True,64,Human
641,"Hello Fox? My campaign theme is
""I'm Sheepish On America""",7,171,201,Top 5 Unfunny,True,False,57,Human
641,Ha. I t looks like a sheep sty in here,4,169,191,Top 5 Unfunny,False,False,38,Human
641,i luv u 237,2,169,182,Top 5 Unfunny,False,False,11,Human
641,They were fine until I told them room service is out of forbs.,3,168,183,Top 5 Unfunny,False,True,62,Human
