contest,caption,funny_votes,unfunny_votes,votes,category,has_question_mark,ends_with_punctuation,caption_length,model
636,"Yes, we all had the potato salad.  Why?",84,219,397,Top 5 Funny,True,True,39,Human
636,I assume this is one of your easier assignments.,78,233,414,Top 5 Funny,False,True,48,Human
636,So all they told you was ‘the guy in the overalls?’,75,210,379,Top 5 Funny,True,False,51,Human
636,Whaddaya mean this is a “working lunch” for you?,73,220,403,Top 5 Funny,True,True,48,Human
636,Don't take it personally. We defy death pretty much every day.,66,190,333,Top 5 Funny,False,True,62,Human
636,"I totally get your costume, Jones: death by poison.  Hilarious!",3,368,422,Top 5 Unfunny,False,True,63,Human
636,It looks like he's had his chips!,2,366,404,Top 5 Unfunny,False,True,33,Human
636,did you bring a lunch to share?,5,363,417,Top 5 Unfunny,True,True,31,Human
636,"Sorry, you misread our ad. We’re into LIGHT BDSM.",9,361,411,Top 5 Unfunny,False,True,49,Human
636,We are above “it”!,10,359,413,Top 5 Unfunny,False,True,18,Human
