contest,caption,funny_votes,unfunny_votes,votes,category,has_question_mark,ends_with_punctuation,caption_length,model
874,"I love space, but I miss seasons.",696,2197,3720,Top 5 Funny,False,True,33,Human
874,"Don't worry, your wife was explicit.  The dog stays.",547,1737,2882,Top 5 Funny,False,True,52,Human
874,"Hey, it's no different from you guys going to the moon to collect rocks.",510,1326,2490,Top 5 Funny,False,True,72,Human
874,Of course when Spielberg hired us we thought we'd be in a movie.,500,1461,2660,Top 5 Funny,False,True,64,Human
874,Who says it doesn't grow on trees?,476,1389,2101,Top 5 Funny,True,True,34,Human
874,"I love space, but I miss seasons.",696,2197,3720,Top 5 Unfunny,False,True,33,Human
874,"Don't worry, your wife was explicit.  The dog stays.",547,1737,2882,Top 5 Unfunny,False,True,52,Human
874,"One mile over the speed of light, 200 hours of community service.",455,1478,2579,Top 5 Unfunny,False,True,65,Human
874,Of course when Spielberg hired us we thought we'd be in a movie.,500,1461,2660,Top 5 Unfunny,False,True,64,Human
874,Who says it doesn't grow on trees?,476,1389,2101,Top 5 Unfunny,True,True,34,Human
