contest,caption,funny_votes,unfunny_votes,votes,category,has_question_mark,ends_with_punctuation,caption_length,model
607,He touched so many lives.,1620,1776,5140,Top 5 Funny,False,True,25,Human
607,I was hoping taxes would go first.,1569,1951,5204,Top 5 Funny,False,True,34,Human
607,My only regret is that he never got around to visiting your mother.,1436,1524,4216,Top 5 Funny,False,True,67,Human
607,"Well, I guess that just leaves taxes.",1371,1744,4667,Top 5 Funny,False,True,37,Human
607,I guess we can stop eating kale.,1331,1882,4792,Top 5 Funny,False,True,32,Human
607,I was hoping taxes would go first.,1569,1951,5204,Top 5 Unfunny,False,True,34,Human
607,He died doing what he loved.,1083,1939,4545,Top 5 Unfunny,False,True,28,Human
607,"Well, he has no one to blame but himself.",1278,1924,4826,Top 5 Unfunny,False,True,41,Human
607,I guess we can stop eating kale.,1331,1882,4792,Top 5 Unfunny,False,True,32,Human
607,Suddenly everyone has only good things to say about him.,1023,1841,4376,Top 5 Unfunny,False,True,56,Human
