contest,caption,funny_votes,unfunny_votes,votes,category,has_question_mark,ends_with_punctuation,caption_length,model
821,The ego has landed.,1509,2406,5448,Top 5 Funny,False,True,19,Human
821,You shoulda heard the mocking birds this morning.,1240,1864,4539,Top 5 Funny,False,True,49,Human
821,He does this every time National Geographic shows up.,805,1423,3361,Top 5 Funny,False,True,53,Human
821,Witness protection.,586,1304,2873,Top 5 Funny,False,True,19,Human
821,He looks ten years stupider.,577,1454,2877,Top 5 Funny,False,True,28,Human
821,The ego has landed.,1509,2406,5448,Top 5 Unfunny,False,True,19,Human
821,You shoulda heard the mocking birds this morning.,1240,1864,4539,Top 5 Unfunny,False,True,49,Human
821,Ever since the pink flamingo moved in downstairs.,573,1469,3158,Top 5 Unfunny,False,True,49,Human
821,He looks ten years stupider.,577,1454,2877,Top 5 Unfunny,False,True,28,Human
821,He does this every time National Geographic shows up.,805,1423,3361,Top 5 Unfunny,False,True,53,Human
