contest,caption,mean,precision,votes,not_funny,somewhat_funny,funny,has_question_mark,ends_with_punctuation,caption_length
755,'Yes Robert I bought a chair. I was sick of my options being between a rock and a hard place.',1.9377622377622377,0.0214186667766364,1430,516,487,427,False,False,94
755,Do you want to go clubbing later?,1.9181208053691272,0.0169943558417327,2235,820,778,637,True,True,33
755,"Yes, the mammoth is free range.",1.911787072243346,0.0152951458424113,2630,935,992,703,False,True,31
755,The restroom is just down the hall and anywhere you want.,1.8982131461391192,0.0143237646099786,3134,1183,1087,864,False,True,57
755,"Sorry John, but there’s too much history between us.",1.894948143191703,0.0148103555391315,2989,1153,997,839,False,True,52
755,"Sorry, I’m the hunter. For your vegan requests, I’ll send over the gatherer.”",1.8853188334157192,0.01732221702861,2023,743,769,511,False,False,77
755,"There’s meat, or we have a new dish called ‘cooked meat’.",1.8804611650485437,0.0136479077589777,3296,1235,1223,838,False,True,57
755,You knew I was a Neanderthal when you married me.,1.878474114441417,0.0128221912429484,3670,1357,1402,911,False,True,49
755,"Myles, the pandemic is ending.  You should try to find your pants.",1.8731012658227848,0.014365714499108,3160,1256,1049,855,False,True,66
755,You look nothing like your drawing.,1.87006237006237,0.0175188008271283,1924,709,756,459,False,True,35
755,So what am I then? Ancient history?,1.8658154661527344,0.0120280767367824,4151,1562,1584,1005,True,True,35
755,"Kevin, at some point you're going to have to shave and go back into the office",1.8654255319148936,0.0128171706876053,3760,1448,1370,942,False,False,78
755,Welcome to the first Hard Rock Cafe,1.8612473721093203,0.0148808072633846,2854,1127,996,731,False,False,35
755,Would you like the “hunt” or “gather” menu?,1.861146095717884,0.0134926259790842,3176,1169,1279,728,True,True,43
755,I just can’t get past the difference in our ages.,1.8604444444444443,0.0135582340850431,3375,1315,1216,844,False,True,49
755,It just feels like I am the only one evolving in this relationship.,1.859073359073359,0.0193127041482339,1554,575,623,356,False,True,67
755,Do you want to go out tonight or do you want me to kill something on the way home from work?,1.847437425506555,0.0153359638846508,2517,966,969,582,True,True,92
