contest,rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny,has_question_mark,ends_with_punctuation,caption_length
532,0,Who's endangered now?,1.6822157434402332,0.0294922028344201,686,348,208,130,True,True,21
532,1,They were never going to find you anyway,1.60167714884696,0.0350113208290657,477,272,123,82,False,False,40
532,2,Sorry...I was texting.,1.5899122807017545,0.0362281822080013,456,268,107,81,False,True,22
532,3,"Yeah, well your profile wasn't exactly honest either.",1.5833333333333333,0.0347791597242506,444,250,129,65,False,True,53
532,4,I'd like to settle this without involving my insurance company.,1.514792899408284,0.0377619594472365,338,203,96,39,False,True,63
532,5,"Sorry mate, I was swimming and texting.",1.5107692307692309,0.0386392853847694,325,197,90,38,False,True,39
532,6,"Sorry, totally thought I could jump it.",1.5060975609756098,0.0405070381472304,328,209,72,47,False,True,39
532,7,"Ironically, I'm not even a killer whale.",1.4968354430379749,0.0381663337508002,316,192,91,33,False,True,40
532,8,"I ain't heavy, I'm your blubber.",1.4952380952380953,0.04227180910655,315,208,58,49,False,True,32
532,9,We should probably exchange insurance information.,1.4952380952380953,0.0398083134694315,315,198,78,39,False,True,50
532,10,"You were right, white whales can't jump.",1.4903225806451612,0.0405452667113923,310,198,72,40,False,True,40
532,11,Online you said you were a dolphin.,1.4852459016393442,0.0407786072293361,305,196,70,39,False,True,35
532,12,"Hold still, dammit, I'm trying to get the hook out.",1.476351351351351,0.0425151827397319,296,197,57,42,False,True,51
532,13,Did I land on a palm tree or are you just happy to see me?,1.4761904761904765,0.0390463109190134,294,183,82,29,True,True,58
532,14,Those aren't coconuts.,1.4761904761904765,0.0438099477788118,294,200,48,46,False,True,22
532,15,"So, any chance you could push me back into the water?",1.4726027397260273,0.040413531952964,292,187,72,33,True,True,53
532,16,Who's the endangered species now?,1.4705882352941178,0.042168261112954,289,191,60,38,True,True,33
532,17,"He ain't heavy, he's my blubber.",1.4705882352941178,0.0427343033680458,289,193,56,40,False,True,32
532,18,"I thought your sign said, ""Kelp""",1.4666666666666666,0.0414306386302846,285,186,65,34,False,False,32
532,19,You have to hide me. I'm being stalked by some crazy guy with a wooden leg.,1.4645390070921986,0.0435289596098181,282,191,51,40,False,True,75
