contest,caption,mean,precision,votes,not_funny,somewhat_funny,funny,has_question_mark,ends_with_punctuation,caption_length
851,I’m here to conduct your exit interview.,1.744280442804428,0.0151893841536101,2710,1282,839,589,False,True,40
851,"At this point, I’m no longer sure which one of us they’re testing.",1.7245386192754617,0.0203295420961568,1463,699,468,296,False,True,66
851,"The restroom?  Third door on your right, then left, left again, then right, right and left. You can’t miss it.",1.7161916312916918,0.0190979532601467,1649,796,525,328,True,True,110
851,That concludes our study. You can see yourself out.,1.679579413392363,0.0178643321153216,1807,903,580,324,False,True,51
851,It’s an honor to work with a giant in the field.,1.6760287393860225,0.0136118829183164,3062,1525,1004,533,False,True,48
851,"Sure, if you can find your way out, you can work remotely.",1.6602830974188176,0.022217410086551,1201,629,351,221,False,True,58
851,We have to let you go.  You’ve outgrown your position here.,1.6598984771573604,0.0177147220877128,1773,897,582,294,False,True,59
851,"I was hoping you'd get us both out, actually.",1.646864686468647,0.0189775374247707,1515,775,500,240,False,True,45
851,"They said if I find my way out, I'll get tenure. What did they tell you?",1.643181818181818,0.0260263290564354,880,475,244,161,True,True,72
851,Just climb over the walls. It’ll drive the researchers crazy.,1.6403669724770642,0.0188823369994974,1635,876,471,288,False,True,61
851,Do you mind if I follow you out?,1.6388616290480864,0.0231742676751606,1019,529,329,161,True,True,32
851,Steroids in the cheese?  Why do you ask?,1.636875439831105,0.0203134749720805,1421,768,401,252,True,True,40
851,You're welcome to run through the cubicles. Everyone works from home.,1.636058981233244,0.0196319503833667,1492,799,437,256,False,True,69
851,"You find the cheese, I'll find the wine and we'll meet back here.",1.6323103647944412,0.0178289989568595,1727,908,546,273,False,True,65
851,I'd ask directions but I'm a man.,1.631831831831832,0.0187623920791529,1665,907,464,294,False,True,33
851,"For you, it’s cheese. Me, it’s tenure.",1.627710843373494,0.0182966099534393,1660,885,508,267,False,True,38
851,You've made it to the end. Would you mind taking an exit poll?,1.6220677671589925,0.0218613930643873,1151,616,354,181,True,True,62
851,"I'm new here, but you seem to know your way around.",1.6150474799123449,0.0190848525664524,1369,706,484,179,False,True,51
851,The goal is to find the cheese and avoid Brenda in accounting.,1.6093272171253823,0.0206269442393773,1308,719,381,208,False,True,62
851,I've been asked to duplicate my results using a larger sample.,1.6058394160583942,0.0192369653907761,1507,834,433,240,False,True,62
851,We're transferring you to the New York subway.,1.5993555316863588,0.0249633808547649,931,531,242,158,False,True,46
851,"Look, I'm gonna be straight with you; there's no way out.""",1.5971502590673574,0.0190152808919275,1544,867,432,245,False,False,58
851,I'm thinking you're not on the placebo mixture.,1.5928270042194093,0.0240399684853493,948,531,272,145,False,True,47
851,"The results are preliminary, but there do seem to be some side effects.",1.590941768511862,0.0194074309182634,1391,765,430,196,False,True,71
851,I assume you know your way out,1.590465872156013,0.0235306829599185,923,502,297,124,False,False,30
851,"This is embarrassing, but can you help me find the way out?",1.5903179190751444,0.0196718427931714,1384,770,411,203,True,True,59
851,"In this case, thinking outside the box would be beneficial.",1.5766738660907127,0.0239191952879944,926,524,270,132,False,True,59
851,This would have been a lot simpler if you hadn't eaten the BREADCRUMBS!,1.5674217907227617,0.0237339000092755,927,529,270,128,False,True,71
851,"Look, I give you cheese, you get me out",1.5645833333333334,0.0229285130691671,960,542,294,124,False,False,39
851,A pound of Gruyere if you show me the way out.,1.561659192825112,0.0243078645884129,892,516,251,125,False,True,46
851,We would start you off with cheese. No insurance. No retirement. No chance for advancement. Just cheese.,1.5612903225806452,0.0237420396539261,930,537,264,129,False,True,104
851,"Sure, I created it. That doesn't mean I remember every detail.",1.5607375271149675,0.022894590845375,922,514,299,109,False,True,62
851,You can stop looking. I'm the big cheese.,1.5607375271149675,0.0239504241495577,922,535,257,130,False,True,41
851,What we’re trying to determine is am I tiny or are you huge?,1.556712962962963,0.023880593511647,864,489,269,106,True,True,60
851,We're testing to see whether size really does matter.,1.5550351288056206,0.0244903056864026,854,493,248,113,False,True,53
851,We were downsized.,1.5519323671497585,0.0250814848379329,828,484,231,113,False,True,18
851,We need you to stop evolving.,1.551640340218712,0.0276058926898409,823,525,142,156,False,True,29
851,"You did well with the maze.  Next, it's finding public restrooms.",1.5488721804511278,0.0248767487564126,798,458,242,98,False,True,65
851,Ok. Yes. I moved your cheese.,1.5475578406169666,0.0258114420711646,778,457,216,105,False,True,29
851,"Son, you were an experiment.”",1.5473145780051152,0.0257750803969065,782,460,216,106,False,False,29
851,There was never any cheese.,1.5463917525773196,0.0260569678813549,776,460,208,108,False,True,27
851,Go ask Alice. I think she'll know...,1.53986013986014,0.0275548209103494,715,434,176,105,False,True,36
851,"Remember, it's about the journey, not the destination.",1.538888888888889,0.0266950153236362,720,427,198,95,False,True,54
851,"I’m not saying you cheated, but try it again  on all fours.",1.536404160475483,0.026238434176802,673,384,217,72,False,True,59
851,"I cannot say what’s at the end of the maze, but I will say it pairs wonderfully with the mouth-drying tannins of a full-bodied Cabernet Sauvignon.",1.5357664233576642,0.0263117355692705,685,395,213,77,False,True,146
851,"Yes, it is a maze. No, there are no winners in a rat race.",1.5356622998544396,0.0266564163336501,687,401,204,82,False,True,58
851,"Don't ask me, I'm still trying to find the bathroom.",1.5353982300884956,0.0270819800315896,678,399,195,84,False,True,52
851,"Not accusing you,but did you move my cheese?",1.533733133433283,0.0268391559188306,667,388,202,77,True,True,44
851,What are your demands?”,1.5310734463276836,0.0305220712384274,708,477,86,145,True,False,23
851,These are the offices. Labs are on the next floor.,1.5303265940902022,0.0275868108839036,643,379,187,77,False,True,50
851,"Yes, I guess I could install a doggie door.",1.5290858725761771,0.0301081302574771,722,486,90,146,False,True,43
851,They're turning it into an IKEA.,1.528861154446178,0.0287765710424006,641,392,159,90,False,True,32
851,"It’s not about the cheese, it’s about the journey.",1.52803738317757,0.0282317174873548,642,387,171,84,False,True,50
851,Take as long as you need-- there's no cat the first time.,1.5234113712374582,0.0301799818555858,598,373,137,88,False,True,57
851,Let me show you to your cubicle. This place can be a bit of a maze.,1.5233333333333334,0.0272906272236605,600,345,196,59,False,True,67
851,"Sorry, I just work here.",1.5213675213675213,0.0284221374280836,585,345,175,65,False,True,24
851,"I’m just a guy-
Standing in front of a mouse-
Asking her to get me out of this IKEA.",1.5197255574614066,0.0302030500849661,583,362,139,82,False,True,84
851,"So far, the results are huge.",1.5196581196581196,0.0338744251036574,585,404,58,123,False,True,29
851,You've outgrown the position.,1.5178268251273344,0.0286895658894849,589,353,167,69,False,True,29
851,I have another appointment. Can you find your own way out?,1.517515923566879,0.0284544734407371,628,384,163,81,True,True,58
851,"Okay, good. Now, Janet would like you to find her stapler.",1.5150976909413854,0.0288099778123637,563,334,168,61,False,True,58
851,What else have you been taking?,1.5141843971631206,0.0298478037703889,564,345,148,71,True,True,31
