contest,caption,mean,precision,votes,not_funny,somewhat_funny,funny,has_question_mark,ends_with_punctuation,caption_length
887,Four wishes if you listen to a timeshare presentation.,1.640625,0.0162120050922607,2368,1315,589,464,False,True,54
887,Your wish may be granted within three to five business days.,1.6012396694214877,0.0234349380628878,968,527,300,141,False,True,60
887,"You wished for a better candidate, so here I am!",1.5993265993265993,0.0478541091028683,297,184,48,65,False,True,48
887,"All our genies are busy right now, but please continue to rub that lamp, your wishes are very important to us.",1.5972382048331415,0.0187211161076018,1738,1020,398,320,False,True,110
887,"Wish granted, kid, pending corporate approval.",1.587747287811104,0.0205637511484529,1567,975,263,329,False,True,46
887,"Yes, I'm the genie, but the last guy wished to swap outfits.",1.5842318059299192,0.0211071626011071,1484,927,247,310,False,True,60
887,"Yeah, well, you don't look like Aladdin either",1.576219512195122,0.0211907680538349,1312,782,304,226,False,False,46
887,"Of course, certain terms and conditions apply.",1.5743348982785603,0.0197787368106286,1278,707,408,163,False,True,46
887,Chose quickly. I bill by the hour.,1.5733652312599682,0.020875738266155,1254,724,341,189,False,True,34
887,Yeah well you're not exactly Aladdin either,1.570345408593092,0.0214359565677075,1187,688,321,178,False,False,43
887,The IRS has ruled wishes granted are taxable as ordinary income.,1.552492046659597,0.0233699323804391,943,548,269,126,False,True,64
887,"No wishes, but I’ve been trying to reach you about your car warranty.",1.548954895489549,0.0247861879193796,909,551,217,141,False,True,69
887,"There are 3 rules: I cannot make someone love you, bring someone back from the dead, or pass meaningful legislation.",1.547806524184477,0.026352351233849,889,566,159,164,False,True,116
887,''You're not what I expected either.'',1.5360824742268042,0.0262052250316327,776,470,196,110,False,False,38
887,"You can take your 3 wishes all at onc, but I recommend you spread them over 20 years for tax reasons.",1.5328859060402684,0.0255361889508192,745,436,221,88,False,True,101
887,I told you not to rub me the wrong way.,1.5307797537619698,0.0266872921342182,731,442,190,99,False,True,39
887,"You get 1.8 wishes, after taxes.",1.5294117647058822,0.0257625521620188,714,416,218,80,False,True,32
